AH :: 8.8500 ::  :: 2012-05-09 05:31:33 -0700
GSK :: 46.0209 ::  :: 2012-05-09 05:31:33 -0700
DNKN :: 32.8700 ::  :: 2012-05-09 05:46:38 -0700
SHLD :: 54.8800 ::  :: 2012-05-09 05:46:39 -0700
MCP :: 25.5200 ::  :: 2012-05-09 05:51:40 -0700
WMT :: 58.6525 ::  :: 2012-05-09 05:56:42 -0700
MS :: 15.8400 ::  :: 2012-05-09 05:56:43 -0700
CF :: 182.9000 ::  :: 2012-05-09 06:01:45 -0700
ABX :: 36.7200 ::  :: 2012-05-09 06:01:47 -0700
CPWM :: 17.9900 ::  :: 2012-05-09 06:06:49 -0700
PFE :: 22.2000 ::  :: 2012-05-09 06:16:51 -0700
INCY :: 22.5900 ::  :: 2012-05-09 06:21:53 -0700
SLW :: 25.9600 :: eeueeduudu :: 2012-05-09 06:46:58 -0700
XIV :: 10.9900 :: dueeeeeedu :: 2012-05-09 06:52:00 -0700
FCAL :: 6.7000 :: eeeedeeeue :: 2012-05-09 07:02:06 -0700
NOV :: 67.5700 :: ueeeedeuue :: 2012-05-09 07:02:07 -0700
AFFY :: 13.5399 :: udeuedddeu :: 2012-05-09 07:06:28 -0700
TNGO :: 21.3500 :: dddeeeuddu :: 2012-05-09 07:06:34 -0700
EEM :: 39.9700 :: eeeeeeeeed :: 2012-05-09 07:21:41 -0700
SPXU :: 10.1900 :: eeudeeeeud :: 2012-05-09 07:31:43 -0700
GDXJ :: 20.5900 :: edueeeduee :: 2012-05-09 07:41:47 -0700
NEM :: 45.6800 :: eeeeueudue :: 2012-05-09 08:01:53 -0700
EOG :: 102.5200 :: dduueuedee :: 2012-05-09 08:01:54 -0700
EPV :: 41.1688 :: euududeeed :: 2012-05-09 08:06:56 -0700
FAS :: 93.6290 :: uddduuddee :: 2012-05-09 08:11:59 -0700
AGQ :: 43.8600 :: ududueddeu :: 2012-05-09 08:17:00 -0700
MD :: 70.2000 :: dddduedduu :: 2012-05-09 08:37:08 -0700
Z :: 43.5775 :: dedudududd :: 2012-05-09 08:37:08 -0700
SGEN :: 19.4100 :: eeeeeeeeee :: 2012-05-09 08:51:12 -0700
XME :: 45.4700 :: eueeeeeuee :: 2012-05-09 08:51:13 -0700
AAPL :: 573.0000 :: ddedeuedud :: 2012-05-09 08:51:13 -0700
CSTR :: 62.6400 :: deeeeeeeee :: 2012-05-09 09:02:16 -0700
PCS :: 7.0400 :: eeeeeeeeee :: 2012-05-09 09:06:18 -0700
OCZ :: 5.6000 :: ededeuuede :: 2012-05-09 09:06:19 -0700
AVP :: 21.3400 :: eeeeeudeee :: 2012-05-09 09:06:20 -0700
AMED :: 10.3950 :: eeeeueedud :: 2012-05-09 09:11:21 -0700
ATVI :: 12.2900 :: eeeeeeduee :: 2012-05-09 09:16:23 -0700
KKD :: 6.5300 :: eeeeeeeeee :: 2012-05-09 09:26:26 -0700
MTW :: 12.4400 :: eddeeeeeee :: 2012-05-09 09:31:28 -0700
APA :: 87.0100 :: deeeeduded :: 2012-05-09 09:31:30 -0700
EZCH :: 41.8790 :: eeeeedueue :: 2012-05-09 09:36:31 -0700
APC :: 68.6400 :: eduddeeeee :: 2012-05-09 09:36:32 -0700
PANL :: 39.7900 :: dedueudeud :: 2012-05-09 09:46:35 -0700
PSX :: 31.3242 :: dueedeuedd :: 2012-05-09 09:51:37 -0700
T :: 32.8600 :: deeeeeeeud :: 2012-05-09 09:56:39 -0700
MOS :: 50.0000 :: eeeeuudede :: 2012-05-09 10:01:45 -0700
RNF :: 24.8400 :: udduedudue :: 2012-05-09 10:01:46 -0700
MON :: 72.6500 :: eueudeedee :: 2012-05-09 10:11:49 -0700
GLW :: 13.3500 :: udeeeudeee :: 2012-05-09 10:11:50 -0700
TTWO :: 12.7700 :: deeeeeeeee :: 2012-05-09 10:16:52 -0700
VNM :: 21.0400 :: eeedueeeee :: 2012-05-09 10:16:52 -0700
ALGN :: 31.3400 :: eueeeeeude :: 2012-05-09 10:16:53 -0700
MLNX :: 56.8050 :: udududeeeu :: 2012-05-09 10:21:56 -0700
WNR :: 18.0600 :: uuueeeuueu :: 2012-05-09 10:26:57 -0700
RES :: 11.1199 :: eeueudedud :: 2012-05-09 10:26:58 -0700
ACI :: 8.2300 :: eeeeeeeeee :: 2012-05-09 10:27:01 -0700
CAT :: 96.7700 :: uuddududed :: 2012-05-09 10:37:05 -0700
AKS :: 7.1500 :: eeeeeeeeee :: 2012-05-09 10:42:07 -0700
SPG :: 156.2800 :: dueeddueeu :: 2012-05-09 10:42:08 -0700
QLD :: 108.2700 :: eueeedeeed :: 2012-05-09 10:51:11 -0700
LQDT :: 66.0899 :: uedudeudeu :: 2012-05-09 10:51:12 -0700
ACHN :: 6.1100 :: eduudeeeee :: 2012-05-09 10:51:13 -0700
JCP :: 33.9200 :: ueeeuddeee :: 2012-05-09 11:01:17 -0700
XLE :: 67.6800 :: eeeeeeeuee :: 2012-05-09 11:16:21 -0700
SIMO :: 14.9400 :: eeeeeeeeee :: 2012-05-09 11:26:25 -0700
TEVA :: 42.3000 :: eeeeeddued :: 2012-05-09 11:31:26 -0700
X :: 26.4500 :: eeedeeeeud :: 2012-05-09 11:31:27 -0700
FTK :: 13.3600 :: eeeeeeedee :: 2012-05-09 11:31:28 -0700
HAIN :: 51.8500 :: eudedededd :: 2012-05-09 11:46:31 -0700
TOL :: 26.6000 :: eeeeeeeeee :: 2012-05-09 11:51:33 -0700
FORM :: 6.1900 :: uueudeeeee :: 2012-05-09 11:51:34 -0700
ECA :: 22.2310 :: uddueddeeu :: 2012-05-09 12:01:38 -0700
ARMH :: 23.8900 :: eeeeeueeee :: 2012-05-09 12:11:42 -0700
INXN :: 18.6800 :: duduueeeeu :: 2012-05-09 12:21:44 -0700
IYT :: 92.1400 :: uueudeudde :: 2012-05-09 12:26:47 -0700
SPF :: 5.3500 :: eeeeeeudeu :: 2012-05-09 12:31:49 -0700
RYL :: 23.2800 :: eeedueeede :: 2012-05-09 12:31:50 -0700
EXEL :: 5.1200 :: eeeeeeeeee :: 2012-05-09 12:46:54 -0700
IYR :: 63.8900 :: dudeeeeeee :: 2012-05-09 12:46:55 -0700
XLU :: 35.5800 :: euudeeeude :: 2012-05-09 12:51:56 -0700
LEN :: 28.9800 :: eeeeeeeude :: 2012-05-09 12:51:57 -0700
NWSA :: 19.3800 :: eududeeeee :: 2012-05-09 13:12:04 -0700
RSX :: 26.7200 :: eeeeeeeeee :: 2012-05-09 13:12:05 -0700
VNET :: 12.5800 :: eeduddeduu :: 2012-05-09 13:17:07 -0700
EWZ :: 56.7500 :: eeeeeeeeee :: 2012-05-09 13:22:09 -0700
COP :: 53.4700 :: ueeeeeeeud :: 2012-05-09 13:41:14 -0700
MNST :: 65.3100 :: eeeeeeeeee :: 2012-05-09 13:51:17 -0700
FLT :: 40.8700 :: ddeeeedeud :: 2012-05-09 14:01:20 -0700
SGI :: 9.0900 :: eeeeeeeeee :: 2012-05-09 14:01:20 -0700
WRC :: 46.0500 :: eeeeudeeud :: 2012-05-09 14:51:32 -0700
DDS :: 65.4800 :: eeeueududu :: 2012-05-09 14:56:33 -0700
